fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.2 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.2 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.2 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.2 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.3 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.2 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.2 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.3 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.3 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.2 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.2 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.1 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.2 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.1 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.1 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.1 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.1 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.1 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.1 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.1 -> bsc_flow.jsonl (lp-gated: 1469 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 2, reserves read: 2, BNB=$756.0 -> bsc_flow.jsonl (lp-gated: 1471 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.1 -> bsc_flow.jsonl (lp-gated: 1471 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
bsc: pools watched: 2, reserves read: 2, BNB=$756.1 -> bsc_flow.jsonl (lp-gated: 1471 known)
base: pools watched: 1, reserves read: 1, ETH=$2493.3 -> base_flow.jsonl (lp-gated: 382 known)
