fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
base: pools watched: 0, reserves read: 0, ETH=$2484.4 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.7 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.4 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.8 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.4 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.6 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.4 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.5 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.4 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.5 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.4 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.6 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.4 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.6 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.4 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.6 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.7 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.7 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.7 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.7 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.7 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.7 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.7 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.8 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.8 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.8 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.9 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.9 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.9 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.9 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.9 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$744.9 -> bsc_flow.jsonl (lp-gated: 1624 known)
base: pools watched: 0, reserves read: 0, ETH=$2484.6 -> base_flow.jsonl (lp-gated: 428 known)
bsc: pools watched: 4, reserves read: 4, BNB=$745.1 -> bsc_flow.jsonl (lp-gated: 1624 known)
