HTTP 429 for https://api.geckoterminal.com/api/v2/networks/base/new_pools?page=1
fast_discover: 20 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.4 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.4 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.4 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.4 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
bsc: pools watched: 23, reserves read: 23, BNB=$679.2 -> bsc_flow.jsonl (lp-gated: 802 known)
base: pools watched: 9, reserves read: 9, ETH=$2407.8 -> base_flow.jsonl (lp-gated: 213 known)
