fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 6, reserves read: 6, BNB=$685.0 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2423.1 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.0 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2423.1 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.0 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2423.1 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.1 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2423.1 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.1 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2423.1 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.3 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2423.1 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.3 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2423.1 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.3 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2423.1 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.3 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2424.0 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.4 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2424.0 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.5 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2424.8 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.6 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2424.8 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2424.8 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2424.8 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2424.8 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2424.8 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2424.8 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2424.8 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2424.8 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.7 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2424.8 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.8 -> bsc_flow.jsonl (lp-gated: 218 known)
base: pools watched: 5, reserves read: 5, ETH=$2426.8 -> base_flow.jsonl (lp-gated: 45 known)
bsc: pools watched: 6, reserves read: 6, BNB=$685.8 -> bsc_flow.jsonl (lp-gated: 218 known)
