fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
bsc: pools watched: 18, reserves read: 18, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 627 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 182 known)
fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 19, reserves read: 19, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 183 known)
bsc: pools watched: 19, reserves read: 19, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 183 known)
bsc: pools watched: 19, reserves read: 19, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 183 known)
bsc: pools watched: 19, reserves read: 19, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 183 known)
bsc: pools watched: 19, reserves read: 19, BNB=$691.7 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 183 known)
bsc: pools watched: 19, reserves read: 19, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 183 known)
bsc: pools watched: 19, reserves read: 19, BNB=$691.6 -> bsc_flow.jsonl (lp-gated: 630 known)
base: pools watched: 15, reserves read: 15, ETH=$2477.8 -> base_flow.jsonl (lp-gated: 183 known)
