fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 898 known)
base: pools watched: 2, reserves read: 2, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 246 known)
fast_discover: 40 fresh pool rows appended for ['bsc', 'base']
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 899 known)
base: pools watched: 3, reserves read: 3, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 247 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 899 known)
base: pools watched: 3, reserves read: 3, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 247 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 899 known)
base: pools watched: 3, reserves read: 3, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 247 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 899 known)
base: pools watched: 3, reserves read: 3, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 247 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 899 known)
base: pools watched: 3, reserves read: 3, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 247 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 899 known)
base: pools watched: 3, reserves read: 3, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 247 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 899 known)
base: pools watched: 3, reserves read: 3, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 247 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 899 known)
base: pools watched: 3, reserves read: 3, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 247 known)
bsc: pools watched: 7, reserves read: 7, BNB=$687.5 -> bsc_flow.jsonl (lp-gated: 899 known)
base: pools watched: 3, reserves read: 3, ETH=$2392.1 -> base_flow.jsonl (lp-gated: 247 known)
